iter	Logloss
0	0.6861813746
1	0.6798989419
2	0.6734231079
3	0.6672454154
4	0.6611949287
5	0.6550901326
6	0.6471870469
7	0.641837958
8	0.6352319971
9	0.6281625772
10	0.622763169
11	0.6181374329
12	0.6109487827
13	0.6062750335
14	0.6004742319
15	0.5960658615
16	0.5914056957
17	0.5871333089
18	0.5816223702
19	0.5770137166
20	0.5732623502
21	0.5688145647
22	0.5646179911
23	0.5609544126
24	0.5574588159
25	0.5540030593
26	0.5507158557
27	0.5478503157
28	0.5448555053
29	0.5419993743
30	0.5394567101
31	0.5362328312
32	0.5333834876
33	0.5307065429
34	0.5280930779
35	0.5251663921
36	0.5210830742
37	0.5183473809
38	0.5157272738
39	0.5134608779
40	0.5112738615
41	0.5089007862
42	0.5058681976
43	0.5039787711
44	0.5019858433
45	0.5001583651
46	0.4978849404
47	0.4961180668
48	0.4940077662
49	0.4919240118
50	0.490330283
51	0.4886192236
52	0.4870034934
53	0.4853619997
54	0.4835295435
55	0.4813936549
56	0.4789588383
57	0.4767194766
58	0.4751787017
59	0.4730013872
60	0.4715270863
61	0.470430489
62	0.4690169779
63	0.4677284443
64	0.4661822977
65	0.4643758348
66	0.4627057142
67	0.4613283442
68	0.4599679185
69	0.4587094158
70	0.4572102421
71	0.4553226594
72	0.4539272852
73	0.4526162783
74	0.4506545145
75	0.4494951209
76	0.4484883006
77	0.4467246108
78	0.4454712731
79	0.4443192236
80	0.4430145316
81	0.4417286101
82	0.4406464813
83	0.4393188229
84	0.4384801366
85	0.4375998236
86	0.4366472216
87	0.4356788454
88	0.4346774591
89	0.4337541581
90	0.4328348518
91	0.4318270531
92	0.4311768234
93	0.4303343698
94	0.4294297222
95	0.4283805627
96	0.4277144039
97	0.4269577433
98	0.4259795052
99	0.4249701419
100	0.4241665644
101	0.4224678603
102	0.4212455932
103	0.4204926284
104	0.4196010065
105	0.4187238427
106	0.4180179436
107	0.4172731465
108	0.4163752789
109	0.4155000839
110	0.4147856059
111	0.4129505178
112	0.4122269447
113	0.4115559299
114	0.4107828908
115	0.4096064878
116	0.4086785709
117	0.4080040319
118	0.4073649403
119	0.4062769043
120	0.4057812495
121	0.4053412202
122	0.4045734032
123	0.4039528873
124	0.4034558115
125	0.4029966472
126	0.4025137602
127	0.4019884166
128	0.401452293
129	0.4010315963
130	0.4005000113
131	0.3994268993
132	0.3988862327
133	0.3980084961
134	0.3972583232
135	0.3967305946
136	0.3962857319
137	0.3957350351
138	0.3949091272
139	0.3937520254
140	0.3933147841
141	0.3927456281
142	0.3922655936
143	0.3917958803
144	0.3909620312
145	0.3902687925
146	0.38973784
147	0.3890715901
148	0.3884993582
149	0.3879809178
150	0.3871571557
151	0.3866210327
152	0.3862008495
153	0.3854027315
154	0.3848655545
155	0.3843642588
156	0.3838179645
157	0.3831444277
158	0.3827539577
159	0.3812228544
160	0.3806895835
161	0.3801070457
162	0.3796932935
163	0.3793228714
164	0.378987264
165	0.3782671682
166	0.3777496895
167	0.3769867844
168	0.376567712
169	0.3760432975
170	0.3753842739
171	0.374085063
172	0.3736362073
173	0.3726513672
174	0.3723556501
175	0.3718603192
176	0.3714841369
177	0.3710314996
178	0.3706929354
179	0.3702941709
180	0.3698592606
181	0.3695556874
182	0.3691779317
183	0.3683531835
184	0.3679170169
185	0.3669022333
186	0.3662269914
187	0.3659753874
188	0.3656731325
189	0.3652095884
190	0.3647796146
191	0.3640659488
192	0.3635915438
193	0.3631262737
194	0.362533623
195	0.3618315661
196	0.3615652665
197	0.3612511253
198	0.3608545728
199	0.3598751881
200	0.3595965543
201	0.3592278958
202	0.3585302201
203	0.3582398728
204	0.3578241793
205	0.3574404327
206	0.3567241382
207	0.3562658207
