iter	Passed	Remaining
0	7	15718
1	15	15540
2	23	15468
3	30	15427
4	38	15525
5	46	15516
6	54	15616
7	63	15690
8	70	15496
9	77	15440
10	83	15182
11	91	15163
12	98	15043
13	105	15031
14	112	14879
15	118	14725
16	125	14663
17	132	14607
18	139	14549
19	146	14508
20	153	14486
21	160	14430
22	167	14359
23	174	14376
24	181	14339
25	189	14364
26	195	14277
27	202	14241
28	209	14212
29	216	14239
30	224	14235
31	231	14236
32	238	14221
33	247	14299
34	255	14326
35	263	14355
36	270	14363
37	279	14434
38	287	14470
39	296	14527
40	304	14559
41	313	14636
42	322	14684
43	331	14753
44	341	14837
45	350	14905
46	359	14951
47	368	14995
48	377	15030
49	386	15057
50	394	15086
51	403	15114
52	411	15105
53	419	15128
54	428	15146
55	437	15173
56	445	15187
57	453	15168
58	462	15204
59	470	15214
60	478	15214
61	486	15217
62	494	15216
63	504	15266
64	513	15297
65	521	15291
66	529	15275
67	538	15291
68	546	15300
69	555	15321
70	563	15312
71	571	15299
72	579	15303
73	588	15304
74	596	15304
75	604	15293
76	612	15290
77	620	15278
78	628	15282
79	636	15286
80	645	15301
81	653	15289
82	661	15289
83	670	15291
84	679	15301
85	687	15292
86	694	15277
87	703	15279
88	711	15287
89	720	15288
90	728	15273
91	735	15256
92	743	15245
93	751	15238
94	759	15233
95	767	15226
96	775	15206
97	783	15198
98	791	15193
99	800	15209
100	808	15208
101	816	15191
102	824	15177
103	832	15177
104	841	15184
105	850	15192
106	858	15192
107	868	15209
108	877	15221
109	885	15217
110	893	15205
111	901	15193
112	910	15200
113	918	15202
114	927	15196
115	934	15181
116	942	15167
117	951	15168
118	958	15153
119	966	15145
120	974	15135
121	983	15131
122	991	15127
123	998	15113
124	1006	15092
125	1013	15081
126	1020	15056
127	1028	15042
128	1036	15034
129	1044	15025
130	1051	15001
131	1059	14994
132	1066	14966
133	1074	14961
134	1083	14962
135	1089	14937
136	1096	14906
137	1103	14884
138	1110	14868
139	1118	14857
140	1126	14850
141	1134	14844
142	1141	14817
143	1147	14791
144	1154	14772
145	1162	14756
146	1168	14733
147	1175	14709
148	1182	14688
149	1191	14694
150	1198	14679
151	1206	14669
152	1213	14652
153	1221	14636
154	1227	14614
155	1235	14606
156	1244	14603
157	1252	14601
158	1259	14583
159	1270	14607
160	1279	14612
161	1287	14604
162	1294	14593
163	1303	14590
164	1311	14590
165	1319	14578
166	1328	14578
167	1335	14563
168	1343	14550
169	1350	14536
170	1358	14529
171	1368	14545
172	1386	14637
173	1427	14975
174	1442	15045
175	1467	15208
176	1499	15440
177	1527	15633
178	1585	16133
179	1608	16265
180	1702	17112
181	1729	17280
182	1746	17344
183	1760	17375
184	1794	17603
185	1884	18383
186	2020	19587
187	2082	20068
188	2098	20110
189	2109	20099
190	2120	20082
191	2131	20071
192	2143	20071
193	2153	20050
194	2163	20030
195	2175	20018
196	2184	19997
197	2194	19975
198	2205	19960
199	2215	19937
200	2224	19912
201	2239	19929
202	2248	19901
203	2256	19865
204	2265	19837
205	2274	19804
206	2282	19772
207	2290	19733
208	2297	19691
209	2305	19649
210	2313	19618
211	2322	19587
212	2331	19557
213	2339	19524
214	2348	19495
215	2356	19461
216	2364	19430
217	2372	19394
218	2380	19358
219	2389	19329
220	2397	19300
221	2406	19274
222	2418	19270
223	2426	19239
224	2434	19202
225	2442	19170
226	2449	19134
227	2457	19102
228	2466	19071
229	2476	19056
230	2485	19036
231	2493	19001
232	2502	18981
233	2510	18947
234	2518	18916
235	2526	18886
236	2534	18854
237	2542	18824
238	2551	18800
239	2560	18774
240	2568	18746
241	2580	18744
242	2589	18719
243	2597	18695
244	2605	18664
245	2613	18633
246	2621	18604
247	2628	18570
248	2636	18536
249	2643	18503
250	2651	18474
251	2659	18447
252	2668	18423
253	2676	18397
254	2684	18371
255	2692	18342
256	2701	18320
257	2709	18293
258	2717	18267
259	2725	18241
260	2733	18213
261	2741	18187
262	2750	18162
263	2758	18136
264	2765	18106
265	2773	18078
266	2781	18051
267	2789	18025
268	2796	17993
269	2803	17963
270	2810	17931
271	2817	17898
272	2827	17886
273	2835	17861
274	2842	17828
275	2849	17797
276	2857	17771
277	2863	17736
278	2869	17701
279	2875	17665
280	2882	17632
281	2888	17599
282	2895	17564
283	2901	17533
284	2908	17500
285	2914	17466
286	2920	17433
287	2927	17401
288	2934	17370
289	2939	17335
290	2947	17308
291	2953	17278
292	2960	17245
293	2966	17213
294	2972	17180
295	2979	17152
296	2985	17121
297	2992	17093
298	2998	17060
299	3005	17031
300	3012	17002
301	3018	16972
302	3025	16943
303	3031	16914
304	3038	16885
305	3045	16857
306	3052	16831
307	3058	16802
308	3066	16782
309	3076	16773
310	3083	16748
311	3090	16720
312	3096	16691
313	3103	16662
314	3110	16636
315	3118	16618
316	3127	16603
317	3135	16584
318	3144	16571
319	3152	16552
320	3160	16532
321	3168	16513
322	3176	16493
323	3186	16481
324	3193	16459
325	3200	16433
